"","Language","Place.Name","region","Longitude","Latitude"
"1","c++","mountain view","arkansas",-155.0864,19.5506
"2","c","mountain view","california",-155.0864,19.5506
"3","c++","mountain view","california",-155.0864,19.5506
"4","html","mountain view","california",-155.0864,19.5506
"5","java","mountain view","california",-155.0864,19.5506
"6","javascript","mountain view","california",-155.0864,19.5506
"7","mysql","mountain view","california",-155.0864,19.5506
"8","python","mountain view","california",-155.0864,19.5506
"9","sql","mountain view","california",-155.0864,19.5506
"10","swift","mountain view","california",-155.0864,19.5506
"11","html","anchorage","alaska",-149.96,61.1661
"12","java","anchorage","alaska",-149.96,61.1661
"13","javascript","anchorage","alaska",-149.96,61.1661
"14","mysql","anchorage","alaska",-149.96,61.1661
"15","python","anchorage","alaska",-149.96,61.1661
"16","sql","anchorage","alaska",-149.96,61.1661
"17","html","anchorage","alaska",-149.9443,61.1515
"18","java","anchorage","alaska",-149.9443,61.1515
"19","javascript","anchorage","alaska",-149.9443,61.1515
"20","mysql","anchorage","alaska",-149.9443,61.1515
"21","python","anchorage","alaska",-149.9443,61.1515
"22","sql","anchorage","alaska",-149.9443,61.1515
"23","html","anchorage","alaska",-149.9361,61.1901
"24","java","anchorage","alaska",-149.9361,61.1901
"25","javascript","anchorage","alaska",-149.9361,61.1901
"26","mysql","anchorage","alaska",-149.9361,61.1901
"27","python","anchorage","alaska",-149.9361,61.1901
"28","sql","anchorage","alaska",-149.9361,61.1901
"29","html","anchorage","alaska",-149.8974,61.1194
"30","java","anchorage","alaska",-149.8974,61.1194
"31","javascript","anchorage","alaska",-149.8974,61.1194
"32","mysql","anchorage","alaska",-149.8974,61.1194
"33","python","anchorage","alaska",-149.8974,61.1194
"34","sql","anchorage","alaska",-149.8974,61.1194
"35","html","anchorage","alaska",-149.8938,61.19
"36","java","anchorage","alaska",-149.8938,61.19
"37","javascript","anchorage","alaska",-149.8938,61.19
"38","mysql","anchorage","alaska",-149.8938,61.19
"39","python","anchorage","alaska",-149.8938,61.19
"40","sql","anchorage","alaska",-149.8938,61.19
"41","html","anchorage","alaska",-149.8866,61.1549
"42","java","anchorage","alaska",-149.8866,61.1549
"43","javascript","anchorage","alaska",-149.8866,61.1549
"44","mysql","anchorage","alaska",-149.8866,61.1549
"45","python","anchorage","alaska",-149.8866,61.1549
"46","sql","anchorage","alaska",-149.8866,61.1549
"47","html","anchorage","alaska",-149.8862,61.2149
"48","java","anchorage","alaska",-149.8862,61.2149
"49","javascript","anchorage","alaska",-149.8862,61.2149
"50","mysql","anchorage","alaska",-149.8862,61.2149
"51","python","anchorage","alaska",-149.8862,61.2149
"52","sql","anchorage","alaska",-149.8862,61.2149
"53","html","anchorage","alaska",-149.8804,61.1872
"54","java","anchorage","alaska",-149.8804,61.1872
"55","javascript","anchorage","alaska",-149.8804,61.1872
"56","mysql","anchorage","alaska",-149.8804,61.1872
"57","python","anchorage","alaska",-149.8804,61.1872
"58","sql","anchorage","alaska",-149.8804,61.1872
"59","html","anchorage","alaska",-149.8784,61.1446
"60","java","anchorage","alaska",-149.8784,61.1446
"61","javascript","anchorage","alaska",-149.8784,61.1446
"62","mysql","anchorage","alaska",-149.8784,61.1446
"63","python","anchorage","alaska",-149.8784,61.1446
"64","sql","anchorage","alaska",-149.8784,61.1446
"65","html","anchorage","alaska",-149.8761,61.2116
"66","java","anchorage","alaska",-149.8761,61.2116
"67","javascript","anchorage","alaska",-149.8761,61.2116
"68","mysql","anchorage","alaska",-149.8761,61.2116
"69","python","anchorage","alaska",-149.8761,61.2116
"70","sql","anchorage","alaska",-149.8761,61.2116
"71","html","anchorage","alaska",-149.8289,61.1535
"72","java","anchorage","alaska",-149.8289,61.1535
"73","javascript","anchorage","alaska",-149.8289,61.1535
"74","mysql","anchorage","alaska",-149.8289,61.1535
"75","python","anchorage","alaska",-149.8289,61.1535
"76","sql","anchorage","alaska",-149.8289,61.1535
"77","html","anchorage","alaska",-149.8101,61.206
"78","java","anchorage","alaska",-149.8101,61.206
"79","javascript","anchorage","alaska",-149.8101,61.206
"80","mysql","anchorage","alaska",-149.8101,61.206
"81","python","anchorage","alaska",-149.8101,61.206
"82","sql","anchorage","alaska",-149.8101,61.206
"83","html","anchorage","alaska",-149.8084,61.204
"84","java","anchorage","alaska",-149.8084,61.204
