count,name,Language
232717,c,C
30979,c++,C
18859,linux,C
15944,arrays,C
15388,pointers,C
9095,gcc,C
8155,string,C
7823,struct,C
5764,sockets,C
4979,windows,C
4340,multithreading,C
4255,malloc,C
3983,function,C
3883,unix,C
3775,algorithm,C
3674,file,C
3526,winapi,C
3487,assembly,C
3445,segmentation-fault,C
3326,printf,C
3235,memory,C
3208,python,C
3206,linked-list,C
3149,java,C
3007,pthreads,C
2860,memory-management,C
2714,char,C
2633,objective-c,C
2267,linux-kernel,C
2214,makefile,C
479616,c++,C++
30979,c,C++
29760,c++11,C++
27407,qt,C++
18989,templates,C++
16935,boost,C++
15773,arrays,C++
15179,windows,C++
14306,pointers,C++
13125,opencv,C++
12240,vector,C++
11963,winapi,C++
11684,visual-c++,C++
11292,linux,C++
10869,multithreading,C++
10434,stl,C++
10315,string,C++
9686,opengl,C++
9124,class,C++
8224,c#,C++
8107,gcc,C++
7763,visual-studio,C++
7639,algorithm,C++
6599,visual-studio-2010,C++
6361,inheritance,C++
6291,java,C++
5737,mfc,C++
5708,function,C++
5662,dll,C++
5276,python,C++
592644,html,HTML
251732,css,HTML
231530,javascript,HTML
160329,jquery,HTML
76361,php,HTML
24852,twitter-bootstrap,HTML
24832,css3,HTML
22153,html5,HTML
17866,forms,HTML
14080,angularjs,HTML
13917,ajax,HTML
11764,mysql,HTML
10906,asp.net,HTML
10346,image,HTML
9706,java,HTML
9219,c#,HTML
8174,wordpress,HTML
7710,iframe,HTML
7608,dom,HTML
7589,python,HTML
7313,internet-explorer,HTML
6731,google-chrome,HTML
6654,table,HTML
5544,android,HTML
5078,json,HTML
4767,firefox,HTML
4723,xml,HTML
4645,responsive-design,HTML
4591,twitter-bootstrap-3,HTML
4570,jsp,HTML
1161809,java,Java
164489,android,Java
62026,swing,Java
57473,spring,Java
45865,eclipse,Java
35288,hibernate,Java
31339,arrays,Java
26408,multithreading,Java
25366,xml,Java
23341,maven,Java
21955,jsp,Java
21576,string,Java
21348,json,Java
20390,spring-mvc,Java
19096,mysql,Java
18368,servlets,Java
16536,jpa,Java
16450,tomcat,Java
16168,regex,Java
15712,arraylist,Java
