language_pair,topic,count
mysql-c,api,21
mysql-c,linux,16
mysql-c,database,16
mysql-c,gcc,10
mysql-c,php,10
mysql-c,osx,6
mysql-c,prepared-statement,6
mysql-c,windows,5
mysql-c,makefile,5
mysql-c,memory-leaks,5
mysql-c,mysql-connector,5
mysql-c,ubuntu,5
mysql-c,segmentation-fault,5
mysql-c,multithreading,5
mysql-c,insert,5
mysql-c,libmysql,4
mysql-c,eclipse,4
mysql-c,sockets,3
mysql-c,string,3
mysql-c,compiler-errors,3
mysql-c,performance,3
mysql-c,cgi,3
mysql-c,utf-8,3
mysql-c,mingw,3
mysql-c,ssh,3
mysql-c,connection,3
mysql-c,thread-safety,2
mysql-c,build,2
mysql-c,cdt,2
mysql-c,database-connection,2
matlab-c,mex,65
matlab-c,matlab-deployment,10
matlab-c,image-processing,10
matlab-c,simulink,10
matlab-c,matlab-engine,7
matlab-c,linux,7
matlab-c,math,6
matlab-c,image,5
matlab-c,fortran,5
matlab-c,opencv,5
matlab-c,matlab-coder,5
matlab-c,algorithm,5
matlab-c,dll,5
matlab-c,arrays,5
matlab-c,matlab-compiler,4
matlab-c,performance,4
matlab-c,sparse-matrix,4
matlab-c,32bit-64bit,4
matlab-c,binary,3
matlab-c,c#,3
matlab-c,compiler-construction,3
matlab-c,loadlibrary,3
matlab-c,multidimensional-array,3
matlab-c,programming-languages,3
matlab-c,structure,3
matlab-c,file-io,3
matlab-c,gcc,3
matlab-c,visual-cpp,3
matlab-c,pointers,3
matlab-c,machine-learning,3
sql-html,php,344
sql-html,database,43
sql-html,c#,32
sql-html,asp.net,31
sql-html,jquery,30
sql-html,css,27
sql-html,asp-classic,25
sql-html,forms,25
sql-html,sql-server,23
sql-html,table,15
sql-html,ajax,12
sql-html,vbscript,12
sql-html,jsp,10
sql-html,sql-server-2008,9
sql-html,mysqli,8
sql-html,drop-down-menu,7
sql-html,xml,7
sql-html,oracle,6
sql-html,wordpress,6
sql-html,web,6
sql-html,image,6
sql-html,.net,6
sql-html,echo,6
sql-html,tsql,5
sql-html,sqlite,5
sql-html,phpmyadmin,5
sql-html,website,4
sql-html,search,4
sql-html,postgresql,4
sql-html,code-injection,4
c-java,jni,311
c-java,android,130
c-java,sockets,60
c-java,linux,49
c-java,algorithm,48
c-java,android-ndk,47
c-java,c#,37
c-java,jna,35
c-java,arrays,28
c-java,pointers,22
c-java,swig,20
c-java,windows,19
c-java,performance,19
c-java,dll,19
c-java,jvm,18
c-java,multithreading,16
c-java,networking,16
c-java,data-structures,15
c-java,native,15
c-java,compiler-construction,15
c-java,eclipse,14
c-java,gcc,13
c-java,string,13
c-java,math,12
c-java,floating-point,12
c-java,tcp,12
c-java,network-programming,11
c-java,encryption,11
c-java,php,11
c-java,bit-manipulation,10
html-java,jsp,519
html-java,android,258
html-java,servlets,238
html-java,swing,233
html-java,parsing,198
html-java,applet,198
html-java,jsoup,196
html-java,xml,142
html-java,css,134
html-java,regex,116
html-java,html-parsing,84
html-java,jquery,78
html-java,php,77
html-java,jeditorpane,66
html-java,string,63
html-java,dom,62
html-java,forms,61
html-java,gwt,57
html-java,jsf,55
html-java,image,53
html-java,pdf,51
html-java,eclipse,50
html-java,jtextpane,49
html-java,java-ee,47
html-java,http,46
html-java,struts2,46
html-java,ajax,45
html-java,spring-mvc,44
html-java,struts,44
html-java,spring,43
python-sql,django,274
python-sql,sqlalchemy,220
python-sql,sqlite,127
python-sql,database,106
python-sql,postgresql,100
python-sql,sqlite3,66
python-sql,orm,59
python-sql,django-models,48
python-sql,pyodbc,43
python-sql,sql-server,33
python-sql,django-queryset,26
python-sql,psycopg2,21
python-sql,performance,15
python-sql,database-design,14
python-sql,python-2.7,13
python-sql,flask,13
python-sql,oracle,13
python-sql,pandas,13
python-sql,csv,12
python-sql,ms-access,12
python-sql,json,11
python-sql,django-orm,10
python-sql,google-app-engine,10
python-sql,many-to-many,10
python-sql,cx-oracle,10
python-sql,flask-sqlalchemy,9
python-sql,sqlobject,9
python-sql,insert,9
python-sql,datetime,8
python-sql,sql-injection,8
cpp-matlab,mex,68
cpp-matlab,opencv,39
cpp-matlab,image-processing,28
cpp-matlab,matlab-engine,22
cpp-matlab,matrix,20
cpp-matlab,matlab-deployment,15
cpp-matlab,matlab-compiler,14
cpp-matlab,dll,14
cpp-matlab,algorithm,12
cpp-matlab,math,12
cpp-matlab,visual-studio-2010,11
cpp-matlab,c#,9
cpp-matlab,image,9
cpp-matlab,computer-vision,8
cpp-matlab,visual-cpp,8
cpp-matlab,simulink,8
cpp-matlab,machine-learning,8
cpp-matlab,boost,8
cpp-matlab,arrays,8
cpp-matlab,shared-libraries,8
cpp-matlab,signal-processing,6
cpp-matlab,performance,6
cpp-matlab,optimization,6
cpp-matlab,linux,6
cpp-matlab,eigen,6
cpp-matlab,loadlibrary,6
cpp-matlab,vector,6
cpp-matlab,floating-point,6
cpp-matlab,windows,5
cpp-matlab,wolfram-mathematica,5
mysql-javascript,php,2081
mysql-javascript,jquery,644
mysql-javascript,ajax,535
mysql-javascript,json,113
mysql-javascript,node.js,108
mysql-javascript,database,93
mysql-javascript,google-maps,61
