language,keyphrase,tfidf
javascript,node js,0.15593444131845763
javascript,asp net,0.12447972775539222
javascript,google maps,0.11841226433696747
javascript,jquery ajax,0.1004248400805198
javascript,jquery ui,0.09803211003891016
javascript,angular js,0.079602511197512
javascript,jquery mobile,0.07785879226586014
javascript,ng repeat,0.06748177300602679
javascript,chrome extension,0.0644842946811188
javascript,backbone js,0.06266496432286678
javascript,click event,0.0623981455320898
javascript,jquery function,0.05888565922108018
javascript,uncaught typeerror,0.05869191788748616
javascript,java script,0.05469778059477613
javascript,d3 js,0.05398038044503581
javascript,js file,0.05381806830452238
javascript,google map,0.053666875047958355
javascript,js jquery,0.052482684907994036
javascript,page load,0.05154569833733445
javascript,radio button,0.05120633881610478
javascript,ajax request,0.05112187475207822
javascript,jquery plugin,0.04966721907415479
javascript,regular expression,0.046904130251996475
javascript,internet explorer,0.045884600274313285
javascript,function jquery,0.044815408470509854
javascript,html5 canvas,0.04422808402901599
javascript,json data,0.04291808959327036
javascript,json object,0.041803943610422056
mysql,sql query,0.14343666015559248
mysql,foreign key,0.08009455670603745
mysql,stored procedure,0.06588285202366731
mysql,inner join,0.06506328328464121
mysql,left join,0.06356871779074111
mysql,multiple tables,0.05474574254368669
mysql,select query,0.05447781662874783
mysql,database php,0.05069280676490699
mysql,table php,0.05045186245078814
mysql,syntax error,0.05024223673032429
mysql,query php,0.04818442901544723
mysql,primary key,0.048155832878319295
mysql,join tables,0.04106113350119641
mysql,php pdo,0.03992891191526034
mysql,multiple rows,0.03912420675358586
mysql,php sql,0.037313302536983305
mysql,select statement,0.036933859019351166
mysql,join query,0.03690461357162752
mysql,sql syntax,0.03563767777902458
mysql,database table,0.03406553297877036
mysql,data table,0.03307262081688014
mysql,sql select,0.03276848343588058
mysql,data database,0.031353701688380746
mysql,update query,0.029908726871241832
mysql,rows table,0.028918163405802496
mysql,join table,0.027721468999550164
mysql,update table,0.027573027398481623
mysql,query select,0.026867161426708763
mysql,unknown column,0.026196962679305914
mysql,different tables,0.02615746282298438
matlab,cell array,0.1090497234484197
matlab,text file,0.0484702853318484
matlab,neural network,0.04577103702379472
matlab,cell arrays,0.033203680109515264
matlab,3d matrix,0.028531675640037238
matlab,matrix dimensions,0.027352653752696226
matlab,mat file,0.02624914158883426
matlab,elements matrix,0.024347029879498442
matlab,image processing,0.02406518441457248
matlab,values matrix,0.023395974024830537
matlab,input arguments,0.02280687411838568
matlab,sparse matrix,0.022254706999229042
matlab,time series,0.022107962307167307
matlab,mex file,0.021461312944423196
matlab,index exceeds matrix,0.02090512106787183
matlab,input arguments type,0.02081818038612465
matlab,dimensions agree,0.02055079698197569
matlab,3d plot,0.01897743276599121
matlab,rows matrix,0.018560076868755247
matlab,matrix dimensions agree,0.018424852466598897
matlab,column matrix,0.018260272409623832
matlab,row matrix,0.018260272409623832
matlab,undefined function,0.01822278273414382
matlab,simulink model,0.01686882912532552
matlab,elements vector,0.01599078219388395
matlab,matrix elements,0.015780377165017054
matlab,indices real,0.015235935693533705
java,spring mvc,0.13487027607846958
java,jar file,0.09562002088835743
java,spring security,0.06951033198204903
java,web service,0.06907873208161
java,text file,0.06654639875409905
java,web application,0.0655451708031505
java,app engine,0.056951595352972485
java,xml file,0.05077120753353908
java,apache poi,0.0504868806781677
java,play framework,0.046113261361443114
java,selenium webdriver,0.045940161856721146
java,google app,0.04337870017304252
java,jsp page,0.043273098759088566
java,regular expression,0.042883611923259096
java,google app engine,0.04217373627934689
java,spring data,0.04165167655948836
java,command line,0.04128533597064973
java,null pointer exception,0.04049844203616714
java,exception thread,0.03945143941602607
java,lang noclassdeffounderror,0.03780561940894178
java,android studio,0.037331145536758814
java,org apache,0.03724637905811518
java,exception thread main,0.03664011119805259
java,properties file,0.03623380299261168
java,jax rs,0.035823411657670466
java,junit test,0.035338586043631645
c++,visual studio,0.3032349495172437
c++,std vector,0.1855464399904316
c++,std string,0.18050231590246907
c++,template class,0.15550733223284938
c++,member function,0.14044145931947563
c++,boost asio,0.1315525353187486
c++,base class,0.1266995219682805
c++,std map,0.12628741231529403
c++,undefined reference,0.12145305634537064
c++,derived class,0.11073848103210207
c++,copy constructor,0.10423625956069965
c++,segmentation fault,0.10423345011611913
c++,linked list,0.10297899940356191
c++,boost spirit,0.08852575456801276
c++,template parameter,0.08668190311700491
c++,class member,0.08540320057872909
c++,unresolved external,0.07658343136906051
c++,template function,0.07397601176889915
c++,variadic template,0.07233201897630312
c++,function pointer,0.07213566336515312
c++,text file,0.07184581353736877
c++,template specialization,0.07079736709177181
c++,header file,0.06945009321389632
c++,boost thread,0.06847636764494366
c++,class template,0.06755900540232797
c++,const char,0.06747621250355061
c++,char array,0.06720170890121624
c++,access violation,0.06627201721663968
c++,external symbol,0.06457846104634292
c++,template argument,0.06373669346838595
swift,view controller,0.10764948215359517
swift,unwrapping optional,0.09886525271563572
swift,nil unwrapping,0.09353227227869271
swift,unexpectedly nil,0.09148112595679156
swift,core data,0.08156774033551734
swift,sprite kit,0.07741858242371491
swift,does member named,0.07302080905968115
swift,xcode beta,0.06486421770635574
swift,member named,0.05857912328388864
swift,table view,0.053658615332733396
swift,conform protocol,0.05168888731190913
swift,fatal error unexpectedly,0.0500479702543882
swift,optional value,0.04789381966565633
swift,view controllers,0.04742760004335688
swift,ios app,0.045020076641395505
swift,does conform protocol,0.04020246790926266
swift,navigation controller,0.03487323532599771
swift,fatal error,0.034277430129622456
swift,parse com,0.034053780522729026
swift,navigation bar,0.03259693429715773
swift,unresolved identifier,0.03240811188603827
swift,custom uitableviewcell,0.031997882621658036
swift,apple watch,0.03076719482851734
swift,auto layout,0.02929558406481013
python,app engine,0.11151542310583588
python,numpy array,0.1037531372209713
python,google app engine,0.08565723184771595
python,pandas dataframe,0.0851314896818983
python,text file,0.07563815874212108
python,module named,0.06875207888136653
python,object attribute,0.06641650272380623
python,django admin,0.05570797087837101
python,csv file,0.05275069759835426
python,regular expression,0.04551549262721387
