,language,year,month,answer_count
0,c,2008,08,478
1,c,2008,09,1656
2,c,2008,10,1205
3,c,2008,11,901
4,c,2008,12,732
5,c,2009,01,1334
6,c,2009,02,1315
7,c,2009,03,1596
8,c,2009,04,1623
9,c,2009,05,1555
10,c,2009,06,1808
11,c,2009,07,1850
12,c,2009,08,1856
13,c,2009,09,1870
14,c,2009,10,2466
15,c,2009,11,3437
16,c,2009,12,2555
17,c,2010,01,2931
18,c,2010,02,2916
19,c,2010,03,2986
20,c,2010,04,3084
21,c,2010,05,2849
22,c,2010,06,2886
23,c,2010,07,3368
24,c,2010,08,3534
25,c,2010,09,3430
26,c,2010,10,3736
27,c,2010,11,4092
28,c,2010,12,3293
29,c,2011,01,3171
30,c,2011,02,3725
31,c,2011,03,4796
32,c,2011,04,4499
33,c,2011,05,3976
34,c,2011,06,3573
35,c,2011,07,3534
36,c,2011,08,3955
37,c,2011,09,4100
38,c,2011,10,4420
39,c,2011,11,4627
40,c,2011,12,4123
41,c,2012,01,4780
42,c,2012,02,4811
43,c,2012,03,5290
44,c,2012,04,4906
45,c,2012,05,4470
46,c,2012,06,4366
47,c,2012,07,4473
48,c,2012,08,4312
49,c,2012,09,4793
50,c,2012,10,5807
51,c,2012,11,5711
52,c,2012,12,4645
53,c,2013,01,5245
54,c,2013,02,5313
55,c,2013,03,6150
56,c,2013,04,5921
57,c,2013,05,5536
58,c,2013,06,5237
59,c,2013,07,5353
60,c,2013,08,5468
61,c,2013,09,5820
62,c,2013,10,7203
63,c,2013,11,6808
64,c,2013,12,5701
65,c,2014,01,6226
66,c,2014,02,6498
67,c,2014,03,7184
68,c,2014,04,6133
69,c,2014,05,4576
70,c,2014,06,3929
71,c,2014,07,4237
72,c,2014,08,4205
73,c,2014,09,4847
74,c,2014,10,5754
75,c,2014,11,5325
76,c,2014,12,4982
77,c,2015,01,4827
78,c,2015,02,4884
79,c,2015,03,5562
80,c,2015,04,5859
81,c,2015,05,5124
82,c,2015,06,4774
83,c,2015,07,4525
84,c,2015,08,3925
85,c,2015,09,4783
86,c,2015,10,5539
87,c,2015,11,5096
88,c,2015,12,4720
89,c,2016,01,5007
90,c,2016,02,5106
91,c,2016,03,4957
92,c,2016,04,4678
93,c,2016,05,3816
94,c,2016,06,3136
95,c,2016,07,3335
96,c,2016,08,3165
97,c,2016,09,334
98,c++,2008,08,1198
99,c++,2008,09,5879
100,c++,2008,10,4987
101,c++,2008,11,3786
102,c++,2008,12,3052
103,c++,2009,01,3891
104,c++,2009,02,4190
105,c++,2009,03,5148
106,c++,2009,04,4832
107,c++,2009,05,5257
108,c++,2009,06,5614
109,c++,2009,07,5919
110,c++,2009,08,5519
