question_id,language,is_answered,tags,title,answer_count,creation_date,score,link,view_count,user_id,reputation,user_type,display_name
39764125,java,True,java|android|date|datetime,Java SimpleDateFormat.format() returns incorrect date when using miliseconds,4,1475134448,0,http://stackoverflow.com/questions/39764125/java-simpledateformat-format-returns-incorrect-date-when-using-miliseconds,38,5460053,317,registered,Monish Kamble
39757790,java,False,java|google-chrome|selenium,Selenium java runtime error,1,1475097347,0,http://stackoverflow.com/questions/39757790/selenium-java-runtime-error,23,6896205,1,registered,Burhan Ahmed
39764416,java,False,java|android,Android Test Crashes,3,1475135463,0,http://stackoverflow.com/questions/39764416/android-test-crashes,28,6898069,1,registered,Kardio
39764482,java,False,java|sql|postgresql|sqlresultsetmapping,SQL postgres - How to rename each column after join because their are too many fields,1,1475135706,0,http://stackoverflow.com/questions/39764482/sql-postgres-how-to-rename-each-column-after-join-because-their-are-too-many-f,13,3245899,109,registered,ninjaxelite
39763930,java,False,javascript|java|php|java-ee|drupal,how to read the data from multiple set of data and display it in single csv using php,0,1475133838,-3,http://stackoverflow.com/questions/39763930/how-to-read-the-data-from-multiple-set-of-data-and-display-it-in-single-csv-usin,24,6819913,1,registered,Abhishek
39764589,java,False,javascript|java|html|swt,Warning while try to open page after click in button,0,1475135978,-1,http://stackoverflow.com/questions/39764589/warning-while-try-to-open-page-after-click-in-button,5,3704587,143,registered,czArek
39764584,java,False,java|swing|awt|explorer,How to show folder content / explorer in java,0,1475135967,0,http://stackoverflow.com/questions/39764584/how-to-show-folder-content-explorer-in-java,4,4110177,30,registered,jollepe
39763261,java,True,java|regex,How does java quantifier &quot;?&quot; work?,5,1475131652,1,http://stackoverflow.com/questions/39763261/how-does-java-quantifier-work,55,4726942,13,registered,Ganesh Ramachandran
39762963,java,False,java|android|android-intent|bluetooth,Blueetooth Callback funtion onCharacteristicRead is not making Intent call to another activity,0,1475130684,1,http://stackoverflow.com/questions/39762963/blueetooth-callback-funtion-oncharacteristicread-is-not-making-intent-call-to-an,10,6335446,6,registered,Vipul Dubey
39764571,java,False,java|layout|javafx|scenebuilder,Are some JavaFX layouts not compatible with Mac computers?,0,1475135927,0,http://stackoverflow.com/questions/39764571/are-some-javafx-layouts-not-compatible-with-mac-computers,2,5579160,53,registered,Philayyy
39763573,java,True,java|image|jframe,How to paint on JFrame,2,1475132634,1,http://stackoverflow.com/questions/39763573/how-to-paint-on-jframe,20,5315551,13,registered,yspede
39764569,java,False,java|.net|jni4net,&quot;Cannot implement GetType() in IObject&quot; while compiling jni4net generated proxy,0,1475135917,0,http://stackoverflow.com/questions/39764569/cannot-implement-gettype-in-iobject-while-compiling-jni4net-generated-proxy,4,2656182,3,registered,mmendeza
39764562,java,False,java|stream,Java 8 Stream filtering and grouping by same expensive method call,0,1475135899,0,http://stackoverflow.com/questions/39764562/java-8-stream-filtering-and-grouping-by-same-expensive-method-call,10,4474523,37,registered,Gibraltar
39747228,java,False,java|html|gwt|suggestbox,gwt suggestbox doesn&#39;t hide on page scroll,1,1475064895,0,http://stackoverflow.com/questions/39747228/gwt-suggestbox-doesnt-hide-on-page-scroll,15,4320284,36,registered,Dmitriy Altsyvanovich
39764557,java,False,java|raspberry-pi|itext|raspberry-pi2,iText library on Raspberry,0,1475135887,0,http://stackoverflow.com/questions/39764557/itext-library-on-raspberry,3,6090600,52,registered,therock24
39725234,java,True,java|hadoop|hbase,Connecting to remote HBase service using Java,1,1474980802,2,http://stackoverflow.com/questions/39725234/connecting-to-remote-hbase-service-using-java,33,2302843,329,registered,Zeliax
5228687,java,True,java|collections|for-loop,Java: Best way to iterate through an Collection (here ArrayList),6,1299561899,54,http://stackoverflow.com/questions/5228687/java-best-way-to-iterate-through-an-collection-here-arraylist,138874,440336,11934,registered,Jason Rogers
39764189,java,False,java|out-of-memory,How to increase java heap memory in netbeans?,1,1475134664,0,http://stackoverflow.com/questions/39764189/how-to-increase-java-heap-memory-in-netbeans,27,6864826,1,registered,Nad
39763997,java,False,java|android|sqlite|garbage-collection,Garbage value getting produced in textView,1,1475134045,0,http://stackoverflow.com/questions/39763997/garbage-value-getting-produced-in-textview,19,6559239,54,registered,utkarsh dubey
39764505,java,False,java|spring-mvc|memcached|spymemcached|simple-spring-memcached,Spring MemCached flush all strange behaviour,0,1475135760,1,http://stackoverflow.com/questions/39764505/spring-memcached-flush-all-strange-behaviour,7,604493,463,registered,Ahmed
39762330,java,False,java|unit-testing|mocking,Java: Can the mocked code be placed in test folder?,1,1475128100,0,http://stackoverflow.com/questions/39762330/java-can-the-mocked-code-be-placed-in-test-folder,16,3714034,46,registered,ajoshi
14392051,java,True,java|inheritance|private,Private methods in Inheritance,8,1358480691,6,http://stackoverflow.com/questions/14392051/private-methods-in-inheritance,14643,1979248,45,registered,Victor Cheung
39764140,java,True,java|string,Java getDeclaredMethod() parameterTypes for string parameter,3,1475134480,0,http://stackoverflow.com/questions/39764140/java-getdeclaredmethod-parametertypes-for-string-parameter,25,4228398,196,registered,Majid Hojati
39754296,java,False,java|eclipse|serial-port,Serial port library giving error java.lang.UnsatisfiedLinkError:,1,1475084511,0,http://stackoverflow.com/questions/39754296/serial-port-library-giving-error-java-lang-unsatisfiedlinkerror,5,5313398,81,registered,user5313398
39755087,java,False,java|intersection,I can&#39;t get the ball to bounce of my bat,0,1475087352,0,http://stackoverflow.com/questions/39755087/i-cant-get-the-ball-to-bounce-of-my-bat,42,6041096,6,registered,Luke Dale
39762870,java,False,javascript|java|angularjs|spring|spring-security,how to redirect login page for restful api on session timeout +spring security,0,1475130366,0,http://stackoverflow.com/questions/39762870/how-to-redirect-login-page-for-restful-api-on-session-timeout-spring-security,20,6897599,1,registered,Prerana
39764398,java,False,java|android|gradle|reflection,"Get classes from Android in runtime, stop working after gradle upgrade",0,1475135412,0,http://stackoverflow.com/questions/39764398/get-classes-from-android-in-runtime-stop-working-after-gradle-upgrade,7,2835520,1054,registered,MansApps
39764175,java,True,java|abstract,Abstract Classes &amp; Constructors,4,1475134610,1,http://stackoverflow.com/questions/39764175/abstract-classes-constructors,31,5741218,126,registered,Nadim Baraky
19060406,java,True,java,How to remove decimal values from a value of type &#39;double&#39; in Java,15,1380317643,7,http://stackoverflow.com/questions/19060406/how-to-remove-decimal-values-from-a-value-of-type-double-in-java,68651,1967329,279,registered,Sudhir
39763670,java,False,java|json|eclipse|maven,Getting error in pom.xml,2,1475132980,-1,http://stackoverflow.com/questions/39763670/getting-error-in-pom-xml,35,6853784,1,registered,Nisha
39763769,java,False,java|android|firebase|hashmap|firebase-database,Firebase : How to put the currently returned node&#39;s key into a POJO as a field,0,1475133301,0,http://stackoverflow.com/questions/39763769/firebase-how-to-put-the-currently-returned-nodes-key-into-a-pojo-as-a-field,15,2873357,639,registered,Relm
39762810,java,False,java,How to know if value is in arraylist or not?,1,1475130110,-3,http://stackoverflow.com/questions/39762810/how-to-know-if-value-is-in-arraylist-or-not,51,6628023,4,registered,Karan Shrestha
