language,keyphrase,tfidf
java,java lang,0.14749093930781135
java,java code,0.0567272843491582
java,spring boot,0.0567272843491582
java,spring data,0.0567272843491582
java,using java,0.05177107430279843
java,quot quot,0.04690566715089522
java,double double,0.045381827479326564
java,spring mvc,0.045381827479326564
java,android app,0.03451404953519895
java,39 defined,0.03403637060949492
java,android studio,0.03403637060949492
java,array java,0.03403637060949492
java,double double double,0.03403637060949492
java,file java,0.03403637060949492
java,java 39,0.03403637060949492
java,java java,0.03403637060949492
java,java lang runtimeexception,0.03403637060949492
java,java method,0.03403637060949492
java,java program,0.03403637060949492
java,lang runtimeexception,0.03403637060949492
java,org springframework,0.03403637060949492
java,static variable,0.03403637060949492
java,status code,0.03403637060949492
java,unit test,0.03403637060949492
java,file using,0.025885537151399216
java,java api,0.025885537151399216
java,java class,0.025885537151399216
java,39 android,0.022690913739663282
java,apache poi,0.022690913739663282
java,api java,0.022690913739663282
swift,ios swift,0.18508158793626786
swift,type 39,0.130645826778542
swift,view controller,0.130645826778542
swift,swift swift,0.11975867454699682
swift,swift ios,0.09798437008390651
swift,using swift,0.09798437008390651
swift,ios 10,0.08709721785236134
swift,doesn 39,0.08279959893373112
swift,collection view,0.065322913389271
swift,core data,0.065322913389271
swift,swift firebase,0.065322913389271
swift,swift set,0.05443576115772583
swift,swift xcode,0.05443576115772583
swift,xcode swift,0.05443576115772583
swift,39 swift,0.04354860892618067
swift,fatal error,0.04354860892618067
swift,swift make,0.04354860892618067
swift,table view,0.04354860892618067
swift,view cell,0.04354860892618067
swift,doesn 39 work,0.04139979946686556
swift,39 work,0.03858076494429024
swift,39 text,0.0326614566946355
swift,alamofire swift,0.0326614566946355
swift,conform protocol,0.0326614566946355
swift,error unexpectedly,0.0326614566946355
swift,error unexpectedly nil,0.0326614566946355
swift,fatal error unexpectedly,0.0326614566946355
swift,imessage extension,0.0326614566946355
swift,navigation controller,0.0326614566946355
swift,nil unwrapping,0.0326614566946355
javascript,using javascript,0.16532111362119362
javascript,node js,0.14327829847170115
javascript,using jquery,0.09220270996606832
javascript,doesn 39,0.07543858088132861
javascript,react native,0.06705651633895877
javascript,html table,0.06612844544847744
javascript,ng repeat,0.06612844544847744
javascript,google maps,0.050292387254219084
javascript,chrome extension,0.04408563029898497
javascript,d3 js,0.04408563029898497
javascript,java script,0.04408563029898497
javascript,select box,0.04408563029898497
javascript,isn 39,0.04191032271184923
javascript,array objects,0.03352825816947939
javascript,button click,0.03352825816947939
javascript,regular expression,0.03352825816947939
javascript,angular directive,0.03306422272423872
javascript,angular ng,0.03306422272423872
javascript,angular ng repeat,0.03306422272423872
javascript,asp net,0.03306422272423872
javascript,bootstrap carousel,0.03306422272423872
javascript,bootstrap modal,0.03306422272423872
javascript,click event,0.03306422272423872
javascript,click javascript,0.03306422272423872
javascript,input file,0.03306422272423872
javascript,javascript change,0.03306422272423872
javascript,javascript html,0.03306422272423872
javascript,js file,0.03306422272423872
javascript,selected value,0.03306422272423872
javascript,using php,0.03306422272423872
