question_id,language,is_answered,tags,title,answer_count,creation_date,score,link,view_count,user_id,reputation,user_type,display_name
39747297,matlab,True,matlab|plot|matlab-figure,Generating matlab plots with discrete lines takes too long,3,1475065085,2,http://stackoverflow.com/questions/39747297/generating-matlab-plots-with-discrete-lines-takes-too-long,53,2740332,34,registered,Narnia_Optimus
39764095,matlab,False,matlab|signal-processing,Matlab: resampling a non-uniform sampled signal,1,1475134359,-1,http://stackoverflow.com/questions/39764095/matlab-resampling-a-non-uniform-sampled-signal,11,3340234,409,registered,Leb_Broth
39764756,matlab,False,matlab,fundamental matrix and epipolar lines,0,1475136494,-1,http://stackoverflow.com/questions/39764756/fundamental-matrix-and-epipolar-lines,3,5525170,1,registered,navid.mp
39762755,matlab,False,matlab,Estimate the spatial location by camera calibration toolbox(caltech vision MATLAB toolbox),0,1475129892,0,http://stackoverflow.com/questions/39762755/estimate-the-spatial-location-by-camera-calibration-toolboxcaltech-vision-matla,11,5525170,1,registered,navid.mp
39764686,matlab,False,matlab,extracting audio from avi video in matlab,0,1475136307,0,http://stackoverflow.com/questions/39764686/extracting-audio-from-avi-video-in-matlab,3,6898055,1,registered,marty_s
39764573,matlab,False,matlab,How to filter data from struct array when certain fields are empty,0,1475135934,0,http://stackoverflow.com/questions/39764573/how-to-filter-data-from-struct-array-when-certain-fields-are-empty,8,181245,404,registered,WG-
39763955,matlab,False,matlab,How to draw a surface in matlab by using three vectors?,1,1475133920,-1,http://stackoverflow.com/questions/39763955/how-to-draw-a-surface-in-matlab-by-using-three-vectors,13,6506925,1,registered,Rohit
39757743,matlab,False,matlab|colormap,Matlab Meshgrid color map plotting,1,1475097136,0,http://stackoverflow.com/questions/39757743/matlab-meshgrid-color-map-plotting,11,6840425,6,registered,Lin Qiao
39763788,matlab,False,matlab|oop|matlab-class,MATLAB - Can a class have properties defined both by value and by handle?,0,1475133369,0,http://stackoverflow.com/questions/39763788/matlab-can-a-class-have-properties-defined-both-by-value-and-by-handle,8,2275824,341,registered,Alex
39763360,matlab,True,matlab,Removing elements from arbitary columns in a Matrix in MATLAB,1,1475131954,1,http://stackoverflow.com/questions/39763360/removing-elements-from-arbitary-columns-in-a-matrix-in-matlab,13,4833127,2067,registered,Zsw
39760043,matlab,True,matlab,How to find the first peak in matlab?,1,1475113060,1,http://stackoverflow.com/questions/39760043/how-to-find-the-first-peak-in-matlab,18,5962363,6,registered,david kang
39714138,matlab,False,matlab|eigenvector,polyeig for matrices that contains complex numbers,0,1474934666,0,http://stackoverflow.com/questions/39714138/polyeig-for-matrices-that-contains-complex-numbers,11,2587211,1,registered,sedef
39762725,matlab,False,matlab|machine-learning|computer-vision|neural-network|pose-estimation,My Learning Program on Human Pose Estimation using MatConvNet,0,1475129796,1,http://stackoverflow.com/questions/39762725/my-learning-program-on-human-pose-estimation-using-matconvnet,5,6897635,6,registered,Max Shek-wai Chu
39762174,matlab,False,matlab|matlab-figure,Plot a graph for a function,0,1475127361,1,http://stackoverflow.com/questions/39762174/plot-a-graph-for-a-function,28,6043095,6,registered,Deester
36289308,matlab,True,matlab,Generating uniformly distributed Delay in matlab with given properties,1,1459267112,1,http://stackoverflow.com/questions/36289308/generating-uniformly-distributed-delay-in-matlab-with-given-properties,48,5134291,8,registered,naiveBayes
39760952,matlab,False,matlab,Matlab: How to create a CDF array,1,1475119877,0,http://stackoverflow.com/questions/39760952/matlab-how-to-create-a-cdf-array,7,2562952,15,registered,user2562952
39761711,matlab,False,matlab|signal-processing|simulink,How to pass 2-FSK modulator output into a transfer function,0,1475124985,0,http://stackoverflow.com/questions/39761711/how-to-pass-2-fsk-modulator-output-into-a-transfer-function,7,2416525,136,registered,statisticalbeginner
39761701,matlab,False,matlab|point-in-polygon|triangle-count,"Matlab: Time-dependent count, using inpolygon",0,1475124965,0,http://stackoverflow.com/questions/39761701/matlab-time-dependent-count-using-inpolygon,5,3792245,20,registered,user3792245
26635409,matlab,False,matlab|graph|shape|polygons,matlab shape object if function,1,1414599135,0,http://stackoverflow.com/questions/26635409/matlab-shape-object-if-function,71,4194920,1,registered,aqw
39761077,matlab,False,matlab|svm|linear-algebra|cross-validation,Crossvalidate in LSSVM Lab,0,1475120863,0,http://stackoverflow.com/questions/39761077/crossvalidate-in-lssvm-lab,5,4953274,11,registered,Ormazabal Nascimento
39760962,matlab,False,matlab|image-processing|2d|fft,How to normalise a 2D FFT plot to the right frequency (Matlab)?,0,1475119924,0,http://stackoverflow.com/questions/39760962/how-to-normalise-a-2d-fft-plot-to-the-right-frequency-matlab,6,5637601,23,registered,Ang Jit Wei Aaron
19202928,matlab,False,matlab|matrix|rotation,Extract Euler Angles from 3x3 rotation matrix resulted in camera calibration process,2,1381008512,0,http://stackoverflow.com/questions/19202928/extract-euler-angles-from-3x3-rotation-matrix-resulted-in-camera-calibration-pro,8685,2850500,48,registered,CS2013
39760862,matlab,False,matlab|octave,use of &#39;end&#39; keyword in for loop (Octave),0,1475119122,-2,http://stackoverflow.com/questions/39760862/use-of-end-keyword-in-for-loop-octave,15,1190277,111,registered,pippo
39752086,matlab,False,matlab,Slow regexprep with a very long string,1,1475077358,0,http://stackoverflow.com/questions/39752086/slow-regexprep-with-a-very-long-string,23,5274458,76,registered,Eric
39722506,matlab,True,matlab|image-processing|2d|fft,How to plot temporal frequency as a function of spatial frequency from a MATLAB FFT2 output of a time-space image?,1,1474972794,0,http://stackoverflow.com/questions/39722506/how-to-plot-temporal-frequency-as-a-function-of-spatial-frequency-from-a-matlab,38,5637601,23,registered,Ang Jit Wei Aaron
39758319,matlab,True,matlab|function|matrix|input,Matrix as input and output of Matlab function,2,1475099797,3,http://stackoverflow.com/questions/39758319/matrix-as-input-and-output-of-matlab-function,25,6686515,16,registered,Prze Gee
39758236,matlab,True,matlab,Count the number of words in a string in MATLAB,3,1475099351,0,http://stackoverflow.com/questions/39758236/count-the-number-of-words-in-a-string-in-matlab,22,6896335,1,registered,Al Fud
39760072,matlab,False,matlab|matrix,Matlab Randomizing Matrix Value in another Matrix,0,1475113303,0,http://stackoverflow.com/questions/39760072/matlab-randomizing-matrix-value-in-another-matrix,23,6877166,8,registered,wee
39756746,matlab,False,matlab,Serial Data reading in matlab from ARM board,0,1475093232,1,http://stackoverflow.com/questions/39756746/serial-data-reading-in-matlab-from-arm-board,3,6584058,6,registered,Shiva Rana
39689320,matlab,True,python|matlab|anaconda,Anaconda install Matlab Engine on Linux,1,1474821870,1,http://stackoverflow.com/questions/39689320/anaconda-install-matlab-engine-on-linux,26,4062451,611,registered,spacegoing
39754767,matlab,False,r|matlab|floating-point,Get distance to next largest floating point number in R,0,1475086255,3,http://stackoverflow.com/questions/39754767/get-distance-to-next-largest-floating-point-number-in-r,60,1929718,59,registered,Poc275
39759316,matlab,False,matlab|uicontrol|uicontrolstate|uicontrolview,Error in Matlab&#39;s uicontrol,0,1475106855,0,http://stackoverflow.com/questions/39759316/error-in-matlabs-uicontrol,12,2446538,129,registered,Mojo Jojo
6906969,matlab,True,matlab|image-processing,Increasing Image Contrast in MATLAB,4,1312255945,3,http://stackoverflow.com/questions/6906969/increasing-image-contrast-in-matlab,14531,818608,155,registered,flamearchon
39759110,matlab,False,c#|matlab|kinect|openkinect|kinect-interaction,Transform kinect v2 coordinate to another coordinate,0,1475105086,0,http://stackoverflow.com/questions/39759110/transform-kinect-v2-coordinate-to-another-coordinate,5,5894809,1,registered,Ibrahim Seleem
39750602,matlab,True,matlab|matlab-figure,labeling the x-coordinate on the dendrogram in matlab,1,1475073403,1,http://stackoverflow.com/questions/39750602/labeling-the-x-coordinate-on-the-dendrogram-in-matlab,12,6145302,8,registered,Hendrick Wijaya
39758746,matlab,True,matlab|matrix|indexing,Removing columns from a Matrix MatLab,1,1475102471,1,http://stackoverflow.com/questions/39758746/removing-columns-from-a-matrix-matlab,18,6896445,8,registered,Pk. Moe
39694904,matlab,False,matlab|plot|matlab-figure,MATLAB: How to create a graph within a graph?,1,1474865365,0,http://stackoverflow.com/questions/39694904/matlab-how-to-create-a-graph-within-a-graph,85,1205197,413,registered,user1205197
39477051,matlab,False,matlab,Read the file in an array in matlab,1,1473792565,-1,http://stackoverflow.com/questions/39477051/read-the-file-in-an-array-in-matlab,40,2902292,1,registered,shilpa pund
39757798,matlab,False,matlab|image-processing|filtering|signal-processing|linear-interpolation,How to calculate filter coefficients for a polyphase filter,0,1475097372,1,http://stackoverflow.com/questions/39757798/how-to-calculate-filter-coefficients-for-a-polyphase-filter,14,6791818,6,registered,Rising_edge
39758419,matlab,False,matlab,Continuous read of two virtual COM ports within same script,0,1475100373,0,http://stackoverflow.com/questions/39758419/continuous-read-of-two-virtual-com-ports-within-same-script,8,2137649,125,registered,pj2452
39757487,matlab,True,matlab|pid,MATLAB PID Filter Coefficient,1,1475096132,1,http://stackoverflow.com/questions/39757487/matlab-pid-filter-coefficient,12,3883598,120,registered,Paul Jabines
39756437,matlab,False,matlab|image-processing|threshold,using im2bw in iterations with high amount of images,1,1475092091,0,http://stackoverflow.com/questions/39756437/using-im2bw-in-iterations-with-high-amount-of-images,17,6820509,3,registered,JVidal
39713635,matlab,False,matlab|polygon|patch|colorbar|colormap,How can I set a colorbar for single values corresponding to multiple polygons created with geoshape?,0,1474930748,0,http://stackoverflow.com/questions/39713635/how-can-i-set-a-colorbar-for-single-values-corresponding-to-multiple-polygons-cr,15,4619044,6,registered,ahm5028
28149199,matlab,True,matlab|statistics|correlation,Cannonical Correlation Analysis,1,1422271626,2,http://stackoverflow.com/questions/28149199/cannonical-correlation-analysis,348,2551215,677,registered,roni
39755806,matlab,False,matlab|ode|ode45,how to increase speed in ODE solver when using high numbers,0,1475089833,0,http://stackoverflow.com/questions/39755806/how-to-increase-speed-in-ode-solver-when-using-high-numbers,15,5385293,46,registered,kumbu
39756108,matlab,False,matlab|mex,Matlab Mex files with global data in C++,1,1475090980,1,http://stackoverflow.com/questions/39756108/matlab-mex-files-with-global-data-in-c,9,4564152,30,registered,Matt
39708175,matlab,True,matlab|matlab-figure|boxplot,Hierarchically grouped boxplot,1,1474908420,1,http://stackoverflow.com/questions/39708175/hierarchically-grouped-boxplot,51,6552649,8,registered,Rita
